year,location,sqft,bedrooms,bathrooms,amenities,real_estate_type,crime_rates,area,Population,GDP (in crores),Fixed Deposit Interest Rate (% p.a.),Literacy Rate (%),Development Rate,HF,Area-wise Price,price
2000,Dindoli,2088,5,1,8,House,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,73.32
2000,Sachin,1119,5,2,4,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,39.96
2000,Athwa,1976,5,3,6,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,104.09
2000,City Light,2897,2,2,9,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,72.34
2000,Vesu,733,4,1,9,House,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,134.95
2000,Varachha,1099,2,2,4,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,26.71
2000,Bhestan,1726,1,1,2,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,5.02
2000,Athwa,1585,1,2,2,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,10.71
2000,Sachin,512,5,3,3,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,32.47
2000,Pal,2799,2,2,9,House,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,90.25
2000,Sarthana,2386,1,2,1,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,3.83
2000,City Light,2297,4,2,2,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,26.68
2000,Ghod Dod Road,2685,3,2,8,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,85.42
2000,Athwa,901,4,3,6,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,87.92
2000,Piplod,751,5,1,8,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,97.69
2000,Varachha,843,2,3,7,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,54.44
2000,Pal,746,3,2,1,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,13.32
2000,Vesu,1276,1,2,2,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,13.33
2000,Ghod Dod Road,2918,2,1,9,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,60.15
2000,Althan,2103,3,2,8,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,71.07
2000,Vesu,1981,3,1,8,House,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,93.45
2000,Vesu,1343,3,3,3,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,44.97
2000,Bhestan,1454,2,2,9,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,44.96
2000,Sachin,679,4,2,9,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,74.93
2000,Sarthana,1452,3,3,6,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,51.39
2000,Katargam,1432,1,1,7,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,20.03
2000,Adajan,1655,2,1,2,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,16.74
2000,Athwa,1692,2,3,6,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,56.11
2000,Sarthana,2922,5,3,8,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,99.08
